date,open,high,low,close,volume
2026-01-02,100.00,100.78,99.63,100.56,1034053
2026-01-05,100.56,100.82,98.47,99.11,1371858
2026-01-06,99.11,99.56,97.26,97.47,1029258
2026-01-07,97.47,98.02,95.91,96.43,1481453
2026-01-08,96.43,97.65,95.98,97.21,1091704
2026-01-09,97.21,98.61,96.55,98.41,1243143
2026-01-12,98.41,98.70,97.02,97.78,1152944
2026-01-13,97.78,98.20,95.82,96.22,1160663
2026-01-14,96.22,97.28,95.61,96.62,1362275
2026-01-15,96.62,97.35,94.93,95.17,1107419
2026-01-16,95.17,96.97,94.49,96.42,1405397
2026-01-19,96.42,96.65,94.66,95.23,1103445
2026-01-20,95.23,97.77,94.54,97.08,1198591
2026-01-21,97.08,97.64,95.82,96.22,1188162
2026-01-22,96.22,96.80,95.07,95.66,1479514
2026-01-23,95.66,96.22,93.53,94.02,1056702
2026-01-26,94.02,94.42,92.01,92.75,1471088
2026-01-27,92.75,93.76,92.38,93.45,858655
2026-01-28,93.45,93.65,92.08,92.44,1080746
2026-01-29,92.44,93.13,90.35,90.84,1129963
2026-01-30,90.84,91.29,89.14,89.80,1474079
2026-02-02,89.80,90.12,89.34,89.65,1388637
2026-02-03,89.65,90.37,89.24,89.79,1411878
2026-02-04,89.79,90.09,88.72,89.43,1334277
2026-02-05,89.43,90.01,88.77,89.41,960265
2026-02-06,89.41,90.48,89.00,89.87,866613
2026-02-09,89.87,90.37,89.03,89.46,1063626
2026-02-10,89.46,91.80,89.27,91.15,920116
2026-02-11,91.15,92.29,90.82,91.81,1472097
2026-02-12,91.81,92.16,90.95,91.22,803402
2026-02-13,91.22,93.55,90.89,92.88,1324902
2026-02-16,92.88,94.32,92.63,93.85,1455674
2026-02-17,93.85,94.40,92.56,93.09,960263
2026-02-18,93.09,93.37,91.90,92.62,1356116
2026-02-19,92.62,94.70,92.16,94.17,917301
2026-02-20,94.17,96.49,93.51,95.79,1122451
2026-02-23,95.79,96.12,94.28,94.79,882582
2026-02-24,94.79,95.26,92.99,93.22,1358582
2026-02-25,93.22,94.47,92.77,94.21,1376510
2026-02-26,94.21,94.70,92.43,92.95,1022086
2026-02-27,92.95,95.16,92.38,94.54,1126858
2026-03-02,94.54,95.11,93.76,94.16,1342717
2026-03-03,94.16,94.49,93.76,93.98,822056
2026-03-04,93.98,94.63,93.67,94.31,874441
2026-03-05,94.31,95.31,94.08,95.09,832938
2026-03-06,95.09,96.69,94.76,96.46,1308993
2026-03-09,96.46,96.73,94.63,95.36,1398782
2026-03-10,95.36,95.98,94.90,95.65,1226833
2026-03-11,95.65,95.90,94.04,94.47,1244154
2026-03-12,94.47,95.15,93.91,94.13,1485197
2026-03-13,94.13,96.20,93.71,95.95,1155784
2026-03-16,95.95,97.36,95.65,97.10,1362336
2026-03-17,97.10,97.54,96.54,96.90,1061941
2026-03-18,96.90,98.59,96.24,98.35,1377057
2026-03-19,98.35,98.93,96.26,96.77,815474
2026-03-20,96.77,99.34,96.08,98.59,974389
